"id","bookId","action","userId","date","details"
"al_0","book_0","Book Added","u_admin","2025-07-01T08:00:00Z","Book 'Innovate-HR-Batch01' was added to project 'Innovate Corp HR Onboarding Batch A'."
"al_1","book_1","Book Added","u_admin","2025-07-01T08:05:00Z","Book 'Innovate-FIN-Q3-Reports' was added to project 'Innovate Corp Q4 Scanning'."
"al_2","book_3","Book Added","u_admin","2025-07-01T08:10:00Z","Book 'FutureTech-RD-Alpha' was added to project 'Future Tech R&D Notebooks 2024'."
"al_3","book_5","Book Shipped","u_client_2","2025-07-02T10:00:00Z","Client marked book 'FutureTech-OB-Hires-Jun' as shipped."
"al_4","book_6","Book Shipped","u_client_1","2025-07-02T11:00:00Z","Client marked book 'Innovate-LEG-Contracts' as shipped."
"al_5","book_7","Reception Confirmed","u_reception","2025-07-03T09:00:00Z","Book 'FutureTech-RD-Beta' reception confirmed. Assigned to scanner Susan Scanner."
"al_6","book_8","Reception Confirmed","u_reception","2025-07-03T09:05:00Z","Book 'Innovate-FIN-Q2-Archive' reception confirmed. Assigned to scanner Sam Scanner."
"al_7","book_9","Reception Confirmed","u_reception","2025-07-04T09:10:00Z","Book 'FutureTech-PATENT-ABC' reception confirmed. Assigned to scanner Susan Scanner."
"al_8","book_10","Reception Confirmed","u_reception","2025-07-04T09:15:00Z","Book 'Innovate-HR-Batch02' reception confirmed. Assigned to scanner Sam Scanner."
"al_9","book_11","Scanning Started","u_scanner","2025-07-06T10:00:00Z","Scanning process initiated for book 'Innovate-FIN-Q3-Exp'."
"al_10","book_12","Scanning Started","u_scanner_2","2025-07-07T09:00:00Z","Scanning process initiated for book 'FutureTech-OB-Hires-Jul'."
"al_11","book_13","Scanning Finished","u_scanner","2025-07-07T11:00:00Z","85 pages created. Book moved to Storage."
"al_12","book_13","Assigned to Indexer","u_admin","2025-07-07T11:05:00Z","Book 'Innovate-PLAN-2025-Mrkt' assigned to Ida Indexer."
"al_13","book_14","Scanning Finished","u_scanner_2","2025-07-06T14:00:00Z","220 pages created. Book moved to Storage."
"al_14","book_14","Assigned to Indexer","u_admin","2025-07-06T14:05:00Z","Book 'FutureTech-RD-Gamma' assigned to Ian Indexer."
"al_15","book_15","Indexing Started","u_indexer_1","2025-07-06T09:30:00Z","Indexing started for book 'Innovate-FIN-Q3-Inv'."
"al_16","book_16","Assigned for QC","u_indexer_2","2025-07-05T10:00:00Z","Book 'FutureTech-PATENT-DEF' assigned to Quentin Checker."
"al_17","book_17","Checking Started","u_qc","2025-07-05T11:00:00Z","Initial QC started for book 'Innovate-HR-Batch03'."
"al_18","book_18","Initial QC Complete","u_qc_2","2025-07-04T10:00:00Z","Book 'FutureTech-OB-Hires-Aug' has passed initial checks."
"al_19","book_19","Processing Started","u_system","2025-07-03T09:00:00Z","Automated processing started for book 'Innovate-FIN-Q1-Archive'."
"al_20","book_20","Processing Completed","u_system","2025-07-02T15:00:00Z","Automated processing finished for book 'FutureTech-RD-Delta'."
"al_21","book_21","Workflow Step","u_delivery","2025-07-01T16:00:00Z","Book 'Innovate-PLAN-2025-Sales' moved from Processed to Final Quality Control."
"al_22","book_22","Workflow Step","u_delivery","2025-07-02T18:00:00Z","Book 'FutureTech-PATENT-GHI' moved from Final Quality Control to Delivery."
"al_23","book_23","Workflow Step","u_delivery","2025-07-03T19:00:00Z","Book 'Innovate-HR-Batch04' moved from Delivery to Pending Validation."
"al_24","book_24","Client Rejection","u_client_2","2025-07-04T20:00:00Z","Book 'FutureTech-OB-Hires-Sep' rejected. Reason: Pages 12 and 34 are duplicates. Please remove one and re-submit."
"al_25","book_25","Marked as Corrected","u_operator","2025-07-05T21:00:00Z","Book 'Innovate-FIN-Q2-Exp' marked as corrected after client rejection."
"al_26","book_26","Client Approval","u_client_2","2025-07-06T22:00:00Z","Book 'FutureTech-RD-Epsilon' approved."
"al_27","book_27","Book Archived","u_admin","2025-07-07T23:00:00Z","Book 'Innovate-PLAN-2025-Ops' was finalized and archived."